cancer_site,period,age,HSCT,sex,prevalence
Kidney Cancer,10-year,75+,Western HSCT,Male,51.79334500875658
Kidney Cancer,10-year,0-54,Belfast HSCT,Female,28.292887029288707
Kidney Cancer,10-year,0-54,Northern HSCT,Female,38.13389121338912
Kidney Cancer,10-year,0-54,South Eastern HSCT,Female,20.209205020920503
Kidney Cancer,10-year,0-54,Southern HSCT,Female,21.615062761506277
Kidney Cancer,10-year,0-54,Western HSCT,Female,17.748953974895397
Kidney Cancer,10-year,55-64,Belfast HSCT,Female,31.885634588563455
Kidney Cancer,10-year,55-64,Northern HSCT,Female,42.976290097629004
Kidney Cancer,10-year,55-64,South Eastern HSCT,Female,22.775453277545324
Kidney Cancer,10-year,55-64,Southern HSCT,Female,24.35983263598326
Kidney Cancer,10-year,55-64,Western HSCT,Female,20.002789400278935
Kidney Cancer,10-year,65-74,Belfast HSCT,Female,44.01115760111575
Kidney Cancer,10-year,65-74,Northern HSCT,Female,59.31938633193862
Kidney Cancer,10-year,65-74,South Eastern HSCT,Female,31.43654114365411
Kidney Cancer,10-year,65-74,Southern HSCT,Female,33.62343096234309
Kidney Cancer,10-year,65-74,Western HSCT,Female,27.609483960948392
Kidney Cancer,10-year,75+,Belfast HSCT,Female,56.81032078103209
Kidney Cancer,10-year,75+,Northern HSCT,Female,76.57043235704325
Kidney Cancer,10-year,75+,South Eastern HSCT,Female,40.57880055788006
Kidney Cancer,10-year,75+,Southern HSCT,Female,43.401673640167374
Kidney Cancer,10-year,75+,Western HSCT,Female,35.63877266387727
Liver Cancer,10-year,0-54,Belfast HSCT,Male,3.2361809045226133
Liver Cancer,10-year,0-54,Northern HSCT,Male,3.1658291457286434
Liver Cancer,10-year,0-54,South Eastern HSCT,Male,3.0954773869346734
Liver Cancer,10-year,0-54,Southern HSCT,Male,2.4623115577889445
Liver Cancer,10-year,0-54,Western HSCT,Male,2.040201005025126
Liver Cancer,10-year,55-64,Belfast HSCT,Male,7.165829145728644
Liver Cancer,10-year,55-64,Northern HSCT,Male,7.010050251256282
Liver Cancer,10-year,55-64,South Eastern HSCT,Male,6.85427135678392
Liver Cancer,10-year,55-64,Southern HSCT,Male,5.452261306532663
Liver Cancer,10-year,55-64,Western HSCT,Male,4.517587939698493
Liver Cancer,10-year,65-74,Belfast HSCT,Male,18.261306532663315
