sex,age,deprivation,hsct,geo,wellbeing,probability,percentage
Males,75-110,Least Deprived,NHSCT,Urban,good_wellbeing,7.269715733157767e-4,0.07269715733157767
Females,75-110,Least Deprived,NHSCT,Urban,good_wellbeing,6.536635155024209e-4,0.06536635155024209
Males,16-34,Most Deprived,SEHSCT,Urban,good_wellbeing,5.240956209129705e-4,0.052409562091297046
Females,16-34,Most Deprived,SEHSCT,Urban,good_wellbeing,4.29663977505228e-4,0.0429663977505228
Males,35-44,Most Deprived,SEHSCT,Urban,good_wellbeing,5.288172030833579e-4,0.05288172030833579
Females,35-44,Most Deprived,SEHSCT,Urban,good_wellbeing,4.34385559675615e-4,0.0434385559675615
Males,45-54,Most Deprived,SEHSCT,Urban,good_wellbeing,4.957661278906481e-4,0.049576612789064806
Females,45-54,Most Deprived,SEHSCT,Urban,good_wellbeing,4.2022081316445375e-4,0.04202208131644537
Males,55-64,Most Deprived,SEHSCT,Urban,good_wellbeing,5.193740387425833e-4,0.05193740387425833
Females,55-64,Most Deprived,SEHSCT,Urban,good_wellbeing,4.343855596756154e-4,0.04343855596756154
Males,65-74,Most Deprived,SEHSCT,Urban,good_wellbeing,5.382603674241316e-4,0.053826036742413166
Females,65-74,Most Deprived,SEHSCT,Urban,good_wellbeing,4.721582170387123e-4,0.04721582170387123
Males,75-110,Most Deprived,SEHSCT,Urban,good_wellbeing,5.618682782760678e-4,0.056186827827606776
Females,75-110,Most Deprived,SEHSCT,Urban,good_wellbeing,5.052092922314221e-4,0.050520929223142205
Males,16-34,Quintile 2,SEHSCT,Urban,good_wellbeing,5.829827693301584e-4,0.05829827693301584
Females,16-34,Quintile 2,SEHSCT,Urban,good_wellbeing,4.7794082891031e-4,0.047794082891031
Males,35-44,Quintile 2,SEHSCT,Urban,good_wellbeing,5.882348663511508e-4,0.05882348663511509
Females,35-44,Quintile 2,SEHSCT,Urban,good_wellbeing,4.831929259313023e-4,0.04831929259313023
Males,45-54,Quintile 2,SEHSCT,Urban,good_wellbeing,5.514701872042039e-4,0.055147018720420396
Females,45-54,Quintile 2,SEHSCT,Urban,good_wellbeing,4.6743663486832507e-4,0.04674366348683251
Males,55-64,Quintile 2,SEHSCT,Urban,good_wellbeing,5.777306723091661e-4,0.0577730672309166
Females,55-64,Quintile 2,SEHSCT,Urban,good_wellbeing,4.8319292593130257e-4,0.04831929259313026
Males,65-74,Quintile 2,SEHSCT,Urban,good_wellbeing,5.987390603931354e-4,0.05987390603931354
Females,65-74,Quintile 2,SEHSCT,Urban,good_wellbeing,5.252097020992419e-4,0.05252097020992419
Males,75-110,Quintile 2,SEHSCT,Urban,good_wellbeing,6.249995454980981e-4,0.062499954549809805
Females,75-110,Quintile 2,SEHSCT,Urban,good_wellbeing,5.619743812461887e-4,0.05619743812461887
Males,16-34,Quintile 3,SEHSCT,Urban,good_wellbeing,6.300924880639085e-4,0.06300924880639085
Females,16-34,Quintile 3,SEHSCT,Urban,good_wellbeing,5.165623100343752e-4,0.05165623100343752
Males,35-44,Quintile 3,SEHSCT,Urban,good_wellbeing,6.35768996965385e-4,0.0635768996965385
Females,35-44,Quintile 3,SEHSCT,Urban,good_wellbeing,5.222388189358518e-4,0.05222388189358518
Males,45-54,Quintile 3,SEHSCT,Urban,good_wellbeing,5.960334346550487e-4,0.05960334346550487
Females,45-54,Quintile 3,SEHSCT,Urban,good_wellbeing,5.05209292231422e-4,0.0505209292231422
Males,55-64,Quintile 3,SEHSCT,Urban,good_wellbeing,6.244159791624317e-4,0.06244159791624317
Females,55-64,Quintile 3,SEHSCT,Urban,good_wellbeing,5.222388189358521e-4,0.05222388189358521
Males,65-74,Quintile 3,SEHSCT,Urban,good_wellbeing,6.471220147683383e-4,0.06471220147683383
