cancer_site,sex,period,age,HSCT,prevalence
Colorectal Cancer,Male,25-year,55-64,South Eastern HSCT,180
Colorectal Cancer,Male,25-year,55-64,Southern HSCT,162
Colorectal Cancer,Male,25-year,55-64,Western HSCT,147
Colorectal Cancer,Male,25-year,65-74,Belfast HSCT,266
Colorectal Cancer,Male,25-year,65-74,Northern HSCT,394
Colorectal Cancer,Male,25-year,65-74,South Eastern HSCT,322
Colorectal Cancer,Male,25-year,65-74,Southern HSCT,288
Colorectal Cancer,Male,25-year,65-74,Western HSCT,263
Colorectal Cancer,Male,25-year,75+,Belfast HSCT,435
Colorectal Cancer,Male,25-year,75+,Northern HSCT,645
Colorectal Cancer,Male,25-year,75+,South Eastern HSCT,528
Colorectal Cancer,Male,25-year,75+,Southern HSCT,472
Colorectal Cancer,Male,25-year,75+,Western HSCT,431
Gallbladder And Other Biliary Cancer,Male,25-year,0-54,Belfast HSCT,2
Gallbladder And Other Biliary Cancer,Male,25-year,0-54,Northern HSCT,1
Gallbladder And Other Biliary Cancer,Male,25-year,0-54,South Eastern HSCT,1
Gallbladder And Other Biliary Cancer,Male,25-year,0-54,Southern HSCT,1
Gallbladder And Other Biliary Cancer,Male,25-year,0-54,Western HSCT,1
Gallbladder And Other Biliary Cancer,Male,25-year,55-64,Belfast HSCT,1
