sex,age,deprivation,hsct,geo,smoking,probability
Males,75-110,Least Deprived,WHSCT,Urban,current_smoker,4.529863038130934e-5
Females,75-110,Least Deprived,WHSCT,Urban,current_smoker,3.397397278598199e-5
Males,16-34,Most Deprived,BHSCT,Mixed,current_smoker,4.1648276234318e-4
Females,16-34,Most Deprived,BHSCT,Mixed,current_smoker,2.456180393305934e-4
Males,35-44,Most Deprived,BHSCT,Mixed,current_smoker,3.203713556485999e-4
Females,35-44,Most Deprived,BHSCT,Mixed,current_smoker,2.5629708451887974e-4
Males,45-54,Most Deprived,BHSCT,Mixed,current_smoker,3.203713556486e-4
Females,45-54,Most Deprived,BHSCT,Mixed,current_smoker,3.096923104603133e-4
Males,55-64,Most Deprived,BHSCT,Mixed,current_smoker,2.990132652720269e-4
Females,55-64,Most Deprived,BHSCT,Mixed,current_smoker,3.7376658159003317e-4
Males,65-74,Most Deprived,BHSCT,Mixed,current_smoker,2.8833422008374003e-4
Females,65-74,Most Deprived,BHSCT,Mixed,current_smoker,2.6697612970716676e-4
Males,75-110,Most Deprived,BHSCT,Mixed,current_smoker,1.2814854225943995e-4
Females,75-110,Most Deprived,BHSCT,Mixed,current_smoker,9.611140669457995e-5
Males,16-34,Quintile 2,BHSCT,Mixed,current_smoker,3.190080732841376e-4
Females,16-34,Quintile 2,BHSCT,Mixed,current_smoker,1.881329662957735e-4
Males,35-44,Quintile 2,BHSCT,Mixed,current_smoker,2.453908256031826e-4
Females,35-44,Quintile 2,BHSCT,Mixed,current_smoker,1.963126604825461e-4
Males,45-54,Quintile 2,BHSCT,Mixed,current_smoker,2.453908256031828e-4
Females,45-54,Quintile 2,BHSCT,Mixed,current_smoker,2.3721113141640993e-4
Males,55-64,Quintile 2,BHSCT,Mixed,current_smoker,2.2903143722963738e-4
Females,55-64,Quintile 2,BHSCT,Mixed,current_smoker,2.862892965370465e-4
Males,65-74,Quintile 2,BHSCT,Mixed,current_smoker,2.2085174304286453e-4
Females,65-74,Quintile 2,BHSCT,Mixed,current_smoker,2.0449235466931905e-4
Males,75-110,Quintile 2,BHSCT,Mixed,current_smoker,9.815633024127309e-5
Females,75-110,Quintile 2,BHSCT,Mixed,current_smoker,7.361724768095482e-5
Males,16-34,Quintile 3,BHSCT,Mixed,current_smoker,1.9494937811808448e-4
Females,16-34,Quintile 3,BHSCT,Mixed,current_smoker,1.1497014606963958e-4
Males,35-44,Quintile 3,BHSCT,Mixed,current_smoker,1.499610600908342e-4
Females,35-44,Quintile 3,BHSCT,Mixed,current_smoker,1.1996884807266727e-4
Males,45-54,Quintile 3,BHSCT,Mixed,current_smoker,1.4996106009083424e-4
Females,45-54,Quintile 3,BHSCT,Mixed,current_smoker,1.4496235808780645e-4
Males,55-64,Quintile 3,BHSCT,Mixed,current_smoker,1.399636560847787e-4
Females,55-64,Quintile 3,BHSCT,Mixed,current_smoker,1.7495457010597323e-4
